title,path,reviews,release date,developer,popular tags,price,platforms available
Life is Hard,Strategy Games,Mixed (320 reviews),"14 Aug, 2021",Pirozhok Studio,"Strategy, Indie, Simulation, Adventure, Early Access, Pixel Graphics, Medieval, Atmospheric, 2D, God Game, Economy, Addictive, City Builder, Survival","349,60 pуб.","Windows, macOS, SteamOS + Linux"
School of the Dead: Anastasia,Action Games,Positive (25 reviews),"27 Nov, 2018",NOINDEX GAMES,"Indie, Action, Female Protagonist, 2D, GameMaker, Singleplayer, Difficult, Anime, Great Soundtrack, Zombies, Horror",,
Mysterious Blocks 2,Indie Games,Positive (14 reviews),"17 Jun, 2021",Enoops,"Adventure, Indie, Singleplayer, Pixel Graphics, 2D, Arcade, Puzzle, Colorful, Atmospheric, Physics, 3D Platformer, Casual, Puzzle Platformer, 3D",13 pуб.,
Azure Sky,Action Games,Positive (19 reviews),"25 Jan, 2021",Enoops,"Adventure, RPG, Action, Exploration, Platformer, Roguelike, Fighting, 2D Platformer, 2D Fighter, Side Scroller, Puzzle Platformer, Souls-like, Roguelite, Anime, Cute, Minimalist, Pixel Graphics, Atmospheric, Survival, Story Rich",20 pуб.,
Endless Maneuver,Indie Games,Positive (12 reviews),"13 Mar, 2019",GGaming,"Indie, Simulation, Adventure, Difficult, Runner, Platformer, Early Access, Singleplayer, Casual, Kickstarter, Walking Simulator, Relaxing, Fantasy, Ninja, Classic, Third Person, Comedy, Great Soundtrack, Perma Death, First-Person",15 pуб.,
Noise,Adventure Games,Mixed (124 reviews),"13 Oct, 2019",Talentplace,"Adventure, Indie, Horror, VR, Atmospheric, Mystery, First-Person, Cold War, Early Access, Action, Surreal, Comedy, Psychological Horror, Puzzle, Management, Documentary, Zombies, Classic, Mature, Modern","583,40 pуб.",
Restless Night,Action Games,Positive (10 reviews),"16 Jun, 2021",HugePixel,"Indie, Action, Adventure, Gore, Violent, Retro, 2D, Pixel Graphics, Great Soundtrack, Arcade, Difficult, Top-Down, Atmospheric, Exploration, Action-Adventure",80 pуб.,
One Man Is Not No Man,Action Games,Very Positive (63 reviews),"18 Mar, 2016",TEN TIULENYA team,"Indie, Action, Medieval, Difficult, Free to Play",,
Throne of Fate,Action Games,Positive (17 reviews),"21 Oct, 2020",Enoops,"Adventure, RPG, Action, Platformer, Action-Adventure, Roguelike, Action RPG, 2D Platformer, Side Scroller, Mystery Dungeon, CRPG, Action Roguelike, 2D, Pixel Graphics, Loot, Crafting, Underground, Magic, Character Customization, Perma Death",26 pуб.,
FreeFly Burning,Action Games,Mixed (42 reviews),"23 Aug, 2017",ZGold,"Indie, Casual, Action, Simulation",15 pуб.,
Jendo: Origins,Free to Play Games,Very Positive (298 reviews),"5 Nov, 2020",KLP Company,"Free to Play, Visual Novel, Anime, Indie, 2D, Casual, Comedy, Story Rich, Atmospheric, Nudity, Singleplayer, First-Person, Cute, Adventure, Sexual Content, Hentai",,
More Dark,Indie Games,Positive (18 reviews),"7 Nov, 2019",HugePixel,"Indie, Gore, Violent, Adventure, Nudity, 2D, Retro, Pixel Graphics, Platformer, Side Scroller, Exploration, Puzzle, Difficult, Singleplayer, Supernatural, Atmospheric, Epic, Great Soundtrack, Arcade, Comedy",80 pуб.,
Fate Hunters,Indie Games,Mostly Positive (718 reviews),"18 Jul, 2019",Tower Games,"Roguelike Deckbuilder, Strategy, Card Battler, Card Game, Deckbuilding, Indie, Roguelike, Roguelite, Turn-Based, Singleplayer, RPG, Adventure, Early Access",,"Windows, macOS, SteamOS + Linux"
Gear of Glass: Eolarn's war,Indie Games,Positive (12 reviews),"7 Nov, 2021",Remnants of mosaic,"Visual Novel, Atmospheric, Dark, Drama, Survival, Story Rich, Emotional, Simulation, Science, Text-Based, Choices Matter, Multiple Endings, Narration, Idler, Exploration, 2D, Hand-drawn, Psychological, Casual, Dystopian",252 pуб.,
ZIC: Survival,Action Games,Mixed (32 reviews),"18 Jun, 2019",IO Games,"Zombies, Survival, Open World, Crafting, Post-apocalyptic, Story Rich, Shooter, Simulation, Indie, Action, Violent, Singleplayer, Roguelite, Funny, Building, Base Building, Top-Down Shooter, Top-Down, Voxel, Procedural Generation",29 pуб.,
Loco Parentis / 孤女咒怨,Indie Games,Mixed (360 reviews),"19 Sep, 2019",Fair Games Studio,"Indie, Adventure, Horror, Co-op, Action, Massively Multiplayer, RPG, Dark, VR, Psychological Horror, Violent, Mystery, Online Co-Op, Roguelite, Gore, First-Person, Story Rich",219 pуб.,
Race for Tuning,Racing Games,Mostly Positive (415 reviews) Very Positive (16 reviews),"19 Apr, 2019",A. Strazhev,"Automobile Sim, Racing, Simulation, Massively Multiplayer, Indie, Multiplayer, Driving, Open World, Action, Sandbox, Singleplayer, Realistic, Co-op, Arcade, Fast-Paced, Adventure, Atmospheric, First-Person, Online Co-Op, America",74 pуб.,
Fishermurs,Indie Games,Mixed (43 reviews),"13 Jun, 2017",Reward Hunters,"Action, Massively Multiplayer, Indie, Survival, Dark Humor, Sports, Arcade, Racing, eSports, Spectacle fighter, Arena Shooter, Top-Down Shooter, 3D, Beautiful, Cute, Hand-drawn, Colorful, Naval, Bullet Time, PvE",15 pуб.,
,,,,,,,
Mimicry,Action Games,Positive (43 reviews) Very Positive (10 reviews),"25 Aug, 2022",Euphoria Games,"Survival, Action, Space, Minigames, Horror, Gore, Blood, Online Co-Op, Multiplayer, Psychological Horror, Violent, Co-op, Team-Based, Stealth, Indie, Atmospheric, Survival Horror, Social Deduction, Casual, 3D",106 pуб.,
Survive on Raft,Simulation Games,Mixed (625 reviews),"5 Jul, 2019",IO Games,"Multiplayer, Simulation, Survival, Indie, Open World Survival Craft, Crafting, Open World, Singleplayer, Building, Sandbox, Base Building, First-Person, Adventure, Fishing, Action, Exploration, Co-op, Resource Management, Realistic, Difficult",99 pуб.,
